Provider,PotentialFraud,degree,eigenvector_centrality,clustering_coefficient,pagerank
PRV55912,1,287,5.236476357635331e-06,4.874203027612439e-05,6.002830913690853e-05
PRV55907,0,617,7.374815223010289e-06,3.309300432909576e-05,0.00012534058365146596
PRV56046,0,54,3.487085292817766e-07,0.00012224571133739366,1.1949759116523117e-05
PRV52405,0,233,6.746401966036939e-07,5.062637222459648e-05,4.556656893345975e-05
PRV56614,0,71,1.020819137793681e-06,8.496678588959873e-05,1.6523042782141925e-05
PRV54986,1,1619,8.361981738699431e-06,1.3438882395246585e-05,0.0003235260850667801
PRV54090,0,495,1.4627842652410499e-06,3.735237797774085e-05,9.98674386958075e-05
PRV51148,1,867,1.0443283200374379e-05,2.8449540200317538e-05,0.0001724514390147085
PRV55839,0,484,7.500387173065779e-07,5.657780992742965e-05,0.00010067947157716881
PRV55215,1,8761,5.9077405106046063e-05,7.633683558100656e-06,0.001730863304748031
PRV55193,1,113,6.793492307672217e-07,7.71205980849146e-05,2.3766648444015652e-05
PRV51145,1,527,2.9911430554433096e-06,4.834676628790146e-05,0.00010646005616853528
PRV55846,0,345,7.728098626391494e-06,3.921998930617428e-05,7.053055966882805e-05
PRV52283,1,171,3.038859727840346e-07,6.670642405730024e-05,3.364591662368919e-05
PRV56588,1,720,8.822654623907339e-06,2.6702589394743226e-05,0.0001453897200684893
PRV56118,0,34,1.635392222062661e-07,0.00012577393299370652,8.901812870600725e-06
PRV57191,1,3344,4.252735978006427e-07,1.5836892279905902e-05,0.0006683006664873226
PRV54675,1,103,3.299022142406752e-07,8.725579027080374e-05,2.3698679011902002e-05
PRV54676,1,111,7.944171274355628e-07,7.999820939004735e-05,2.511226975426442e-05
PRV51393,1,2325,1.0514528172890981e-06,4.649152267103448e-05,0.0004303958125212305
PRV51342,0,536,4.101571409215965e-06,2.91710889218142e-05,0.00011133986488319139
PRV55834,0,1179,3.3209030858383414e-06,4.8732211589418214e-05,0.0002298075928703079
PRV51578,1,3834,2.0208055159307135e-05,9.669027442850179e-06,0.0007720240329576181
PRV53937,1,100,1.8184793362146403e-06,7.254248140636507e-05,2.127885244658812e-05
PRV51710,0,44,1.7032758315618238e-06,0.00011698089064472596,9.982651439651932e-06
PRV53135,0,21,1.0095678940178403e-07,0.00026166980676739797,5.268051624032707e-06
PRV55023,0,178,9.4844706026316e-07,7.45040987757477e-05,3.734984142060897e-05
PRV56490,0,36,3.770795993012169e-07,0.00010197712622040769,8.751786699153558e-06
PRV55462,1,4894,3.5104802968287923e-06,1.449629186027086e-05,0.0009862018489029817
PRV51550,0,150,1.8385515393032369e-06,7.109050123988235e-05,3.055283060572396e-05
PRV57523,0,393,3.943116730416612e-06,4.552686229960241e-05,8.303514340040438e-05
PRV52898,0,310,3.1269722899778255e-06,3.861477680106887e-05,6.501767253927823e-05
PRV51842,1,765,6.740606310622021e-06,3.5446937035311274e-05,0.0001549527099219768
PRV51560,1,615,2.942222890580412e-06,3.082034896683676e-05,0.0001167810612427637
PRV51164,0,996,1.1909797349249872e-06,1.53240310574147e-05,0.00019890793772499733
PRV51146,1,939,6.5481208744530866e-06,2.203003105608041e-05,0.00019005683862220193
PRV54936,1,578,3.980665238997712e-06,2.4227047740322356e-05,0.00011629132205289903
PRV57341,1,475,5.767465071729549e-06,3.478728758859405e-05,9.576252013207544e-05
PRV53769,1,965,1.1080587937677714e-05,2.0602727858677237e-05,0.00019380806470005002
PRV51140,0,1246,9.082233555806778e-07,1.795261499971097e-05,0.00024070700827321515
PRV55005,0,313,2.899326513481846e-06,3.2209618758011404e-05,6.895958203318372e-05
PRV53431,0,108,1.6697439921034273e-07,0.00011933797185551131,2.2035618173996047e-05
PRV52019,1,5161,4.608790162180945e-05,9.104725418560168e-06,0.001066719736809245
PRV54955,1,805,7.126444288764117e-06,1.8823295301975475e-05,0.00015959538409547125
PRV56268,1,2816,2.196284887107467e-05,1.4859797712254897e-05,0.0005642761738639129
PRV53807,0,407,5.745000153445338e-06,3.8432570818026446e-05,8.409733713410158e-05
PRV54720,0,26,1.7590963797713742e-07,0.0001810841366488869,6.81177244859183e-06
PRV57437,0,69,1.0365733604244983e-06,7.775748664482166e-05,1.596617709855341e-05
PRV54692,1,182,1.159091862799285e-06,5.61160277767435e-05,3.809559681150297e-05
PRV55903,0,132,2.8206245969353853e-06,8.079891108049204e-05,2.726357564312243e-05
PRV55670,1,27,1.7340160201633375e-07,0.00019261984360447273,6.332794166172718e-06
PRV52178,1,367,4.897654282389891e-07,3.697149041396722e-05,8.272050476811993e-05
PRV52173,1,311,3.94728083804016e-08,4.287114299615362e-05,7.085257245557752e-05
PRV56575,1,2113,6.540476872101622e-07,1.732735771208665e-05,0.00040750463649768224
PRV57086,0,16,8.009518023112486e-08,0.00024415692466665687,4.246338153101242e-06
PRV55666,0,49,3.511237097993831e-07,9.312640058561661e-05,1.3293792937605326e-05
PRV52280,1,117,1.2133842913194225e-06,8.158235955439076e-05,2.396528309389242e-05
PRV51277,0,153,2.105611154910716e-06,6.530421390574736e-05,3.131501865653567e-05
PRV53233,0,37,3.1716129121453654e-07,0.0001481645002545756,8.122869093239078e-06
PRV56703,0,127,1.9685029860644066e-06,5.2320546012671e-05,2.8439378892398975e-05
PRV51948,1,1312,8.963064715234681e-07,1.8667311890227985e-05,0.00025579743680588437
PRV55918,0,26,5.697589051490229e-07,0.00013594659740425886,6.623277358657872e-06
PRV52279,0,218,2.053456156923116e-07,5.052997503601513e-05,4.8906618123408905e-05
PRV55482,1,229,3.4363542101924823e-06,5.3164380187716346e-05,4.894177397648669e-05
PRV55396,0,181,3.190993334907038e-06,5.904055747411341e-05,4.0691865890355274e-05
PRV54653,0,193,2.971820948174141e-06,7.143539504663745e-05,4.029504532070162e-05
PRV54949,0,1078,1.0820616524965217e-05,2.497998211791519e-05,0.00022129179779964005
PRV54776,0,95,2.0282893065974493e-06,7.213421731680422e-05,2.0854291319330364e-05
PRV53961,1,329,1.651626165430878e-06,2.9826682292953603e-05,6.845092303643747e-05
PRV51868,1,376,2.722489224413795e-06,4.3570941141376865e-05,7.46117850758777e-05
PRV55667,1,109,4.3431364321604233e-07,7.398488871780875e-05,2.2337407166649704e-05
PRV52979,0,18,2.4454811378858496e-07,0.00018347299264895618,4.698829863228065e-06
PRV54875,1,59,2.306014549277071e-07,0.0001376724320690665,1.2923146581332456e-05
PRV55414,0,28,2.9492438982667677e-07,9.857373618180003e-05,8.358199165270974e-06
PRV52120,1,3169,7.980377419983783e-06,8.8248678815574e-06,0.0006157541350155884
PRV57555,0,110,1.567389971976194e-06,8.389380642229368e-05,2.5947915369228964e-05
PRV55495,1,136,2.5637844158258307e-06,7.481992654756997e-05,2.9080702243959024e-05
PRV52038,0,669,6.425556818411077e-06,3.4845949202957095e-05,0.00013737047169559564
PRV55208,0,138,2.3524340848965845e-06,7.446381833088028e-05,2.9244651463964876e-05
PRV56350,1,399,5.48401334382343e-06,4.920270789667291e-05,8.272678119202512e-05
PRV56592,1,321,3.6731661528462404e-06,4.6174135275897494e-05,6.808081914634827e-05
PRV55230,1,1486,1.0503079582434646e-05,1.8861964785763186e-05,0.0002968685621497677
PRV53242,1,689,4.415105098161992e-06,3.494280929642797e-05,0.00013804859760928908
PRV53266,1,674,7.0931653929375765e-06,3.2324650792361716e-05,0.00014002592616172192
PRV54894,1,615,6.221799975792119e-06,2.9957352633018266e-05,0.00012410610208788618
PRV53808,1,1250,1.079531192296412e-05,1.786261606977658e-05,0.00025899242960065013
PRV51178,1,166,3.3072555752633798e-06,5.734379033470687e-05,3.451308127286393e-05
PRV51159,1,1455,9.537618983412646e-06,1.7492365754557457e-05,0.00029569305050661146
PRV54085,0,622,1.154320507615628e-05,3.95243625257482e-05,0.00012976253343603561
PRV54560,1,258,3.763834198257674e-06,6.237594777752057e-05,5.271133926009064e-05
PRV54917,0,88,5.059328043454021e-07,5.2879119377722605e-05,1.8460987239943803e-05
PRV56416,1,4126,4.884244984036659e-06,2.1692370291080803e-05,0.0007940166520097961
PRV54399,1,875,1.942756210306787e-06,6.236440928285675e-05,0.0001665244652953588
PRV54348,0,553,7.528218884482364e-06,2.948653921279436e-05,0.00011317761942854127
PRV52402,0,542,6.8112156719498445e-09,3.111651983404112e-05,0.00010885255788055013
PRV52621,0,124,2.419243775655487e-06,8.026708887559401e-05,2.5716289281642097e-05
PRV51244,1,3679,1.0402616150176801e-06,2.3360325387773346e-05,0.0006932854006209462
PRV53620,0,337,3.8992611369037474e-06,3.983022849108109e-05,6.998147531518372e-05
PRV53385,1,2682,2.9488712109565655e-06,3.4207110854241036e-05,0.0005136141183066495
PRV51501,1,589,2.8265307691704514e-05,2.681916965174749e-05,0.00011746347047536981
PRV57172,1,4517,8.693585918151976e-06,3.156664816612067e-05,0.0008853863528176227
PRV52021,1,1569,9.038249082240657e-06,1.583245706124338e-05,0.00031518593793261596
PRV54778,1,4300,2.557614747805621e-07,1.6020910094975648e-05,0.0007979300409029862
PRV55169,0,1873,1.6984428359541552e-05,1.9739703138663944e-05,0.0003798132819990319
PRV52630,1,1139,4.91852235072134e-07,3.131487769373735e-05,0.00020930478499896625
PRV56412,0,287,7.431732152546841e-07,6.382520273376827e-05,5.784255144011592e-05
PRV57173,1,3131,2.9134363420252062e-05,1.475476025482936e-05,0.0006338963818196323
PRV57412,0,754,2.503734402371911e-06,9.136388198163023e-05,0.0001449989042228009
PRV52985,1,3633,1.031419681154801e-05,3.717581289038032e-05,0.0006946839253578161
PRV52045,1,624,1.150455033488906e-05,3.386644442331938e-05,0.00012981699351588186
PRV54998,1,541,2.1293822094759877e-06,4.934932930564213e-05,0.00010961872034929664
